,otv,debris1,debris2,debris3,debris4,debris5,debris6,debris7,debris8,debris9,debris10
469,[-0.32718376 -1.24927787 -0.12947516],[-0.71941845 -0.98676652 -0.00493213],[-0.32718376 -1.24927787 -0.12947516],[-1.05000319  0.18740428  0.03559794],[ 0.99196976 -0.63766256 -0.04866322],[0.99236122 0.44529582 0.01923838],[ 0.8039915  -0.98990764 -0.0741275 ],[-0.30293056 -1.24821081 -0.06651036],[ 1.2138244  -0.36575974 -0.03964135],[-1.04522435  0.47605661  0.10088797],[-0.1747925  -1.1403573  -0.03894789]
470,[-0.32366722 -1.25018274 -0.12957963],[-0.71638897 -0.98896802 -0.00494742],[-0.32366722 -1.25018274 -0.12957963],[-1.05071007  0.18348759  0.03514168],[ 0.99402865 -0.63446542 -0.04843903],[0.99072896 0.44890869 0.01940059],[ 0.80683334 -0.98760208 -0.07400297],[-0.29938289 -1.24906379 -0.06656049],[ 1.21488446 -0.36224984 -0.03939648],[-1.0468422   0.47259338  0.10039483],[-0.1709841  -1.14093362 -0.03897475]
471,[-0.32014814 -1.25107781 -0.12968308],[-0.71335276 -0.99116023 -0.00496266],[-0.32014814 -1.25107781 -0.12968308],[-1.05140214  0.17956831  0.03468492],[ 0.99607718 -0.63126166 -0.04821433],[0.98908352 0.45251559 0.01956254],[ 0.80966855 -0.98528841 -0.07387782],[-0.29583282 -1.24990672 -0.06661009],[ 1.21593433 -0.35873691 -0.03915128],[-1.04844835  0.46912487  0.09990057],[-0.16717379 -1.14149724 -0.03900119]
472,[-0.31662655 -1.25196309 -0.12978551],[-0.71030984 -0.99334312 -0.00497785],[-0.31662655 -1.25196309 -0.12978551],[-1.05207939  0.1756465   0.03422767],[ 0.99811534 -0.62805132 -0.04798914],[0.98742493 0.45611647 0.01972423],[ 0.81249711 -0.98296664 -0.07375207],[-0.29228036 -1.25073959 -0.06665915],[ 1.21697399 -0.35522097 -0.03890575],[-1.05004279  0.46565112  0.0994052 ],[-0.16336162 -1.14204815 -0.03902719]
473,[-0.31310248 -1.25283856 -0.12988693],[-0.70726023 -0.99551666 -0.00499299],[-0.31310248 -1.25283856 -0.12988693],[-1.05274182  0.17172221  0.03376994],[ 1.0001431  -0.62483445 -0.04776344],[0.9857532  0.45971129 0.01988565],[ 0.81531899 -0.9806368  -0.07362572],[-0.28872554 -1.25156239 -0.06670768],[ 1.21800344 -0.35170204 -0.0386599 ],[-1.05162549  0.46217217  0.09890871],[-0.15954763 -1.14258634 -0.03905275]
474,[-0.30957596 -1.25370421 -0.12998733],[-0.70420398 -0.99768084 -0.00500809],[-0.30957596 -1.25370421 -0.12998733],[-1.05338942  0.16779551  0.03331173],[ 1.00216045 -0.62161106 -0.04753724],[0.98406835 0.46329998 0.02004681],[ 0.81813418 -0.9782989  -0.07349876],[-0.28516841 -1.25237512 -0.06675566],[ 1.21902266 -0.34818016 -0.03841372],[-1.05319644  0.45868805  0.09841112],[-0.15573186 -1.14311182 -0.03907788]
475,[-0.30604701 -1.25456004 -0.13008672],[-0.7011411  -0.99983564 -0.00502314],[-0.30604701 -1.25456004 -0.13008672],[-1.05402217  0.16386644  0.03285305],[ 1.00416735 -0.6183812  -0.04731055],[0.98237042 0.46688252 0.02020771],[ 0.82094264 -0.97595296 -0.07337119],[-0.28160897 -1.25317776 -0.06680311],[ 1.22003165 -0.34465536 -0.03816722],[-1.05475562  0.4551988   0.09791243],[-0.15191436 -1.14362456 -0.03910257]
476,[-0.30251566 -1.25540605 -0.13018508],[-0.69807164 -1.00198104 -0.00503814],[-0.30251566 -1.25540605 -0.13018508],[-1.05464007  0.15993506  0.03239391],[ 1.00616379 -0.6151449  -0.04708337],[0.98065941 0.47045884 0.02036833],[ 0.82374436 -0.97359901 -0.07324302],[-0.27804727 -1.25397032 -0.06685003],[ 1.2210304  -0.34112767 -0.0379204 ],[-1.05630302  0.45170447  0.09741264],[-0.14809517 -1.14412457 -0.03912683]
477,[-0.29898195 -1.25624222 -0.13028242],[-0.6949956  -1.00411701 -0.0050531 ],[-0.29898195 -1.25624222 -0.13028242],[-1.05524311  0.15600143  0.03193432],[ 1.00814975 -0.61190219 -0.0468557 ],[0.97893536 0.4740289  0.02052868],[ 0.82653931 -0.97123705 -0.07311425],[-0.27448334 -1.25475278 -0.0668964 ],[ 1.2220189  -0.33759711 -0.03767326],[-1.05783861  0.44820509  0.09691177],[-0.14427433 -1.14461184 -0.03915066]
478,[-0.29544589 -1.25706855 -0.13037874],[-0.69191303 -1.00624354 -0.00506801],[-0.29544589 -1.25706855 -0.13037874],[-1.05583128  0.1520656   0.03147427],[ 1.01012521 -0.6086531  -0.04662753],[0.97719829 0.47759266 0.02068877],[ 0.82932747 -0.96886712 -0.07298488],[-0.27091719 -1.25552515 -0.06694224],[ 1.22299715 -0.33406372 -0.0374258 ],[-1.05936238  0.4447007   0.09640981],[-0.14045188 -1.14508636 -0.03917404]
479,[-0.29190752 -1.25788503 -0.13047405],[-0.68882395 -1.00836061 -0.00508287],[-0.29190752 -1.25788503 -0.13047405],[-1.05640457  0.14812762  0.03101378],[ 1.01209014 -0.60539768 -0.04639889],[0.97544822 0.48115006 0.02084857],[ 0.83210882 -0.96648922 -0.07285491],[-0.26734886 -1.2562874  -0.06698753],[ 1.22396513 -0.33052752 -0.03717803],[-1.06087431  0.44119134  0.09590678],[-0.13662787 -1.14554814 -0.039197  ]
480,[-0.28836686 -1.25869166 -0.13056833],[-0.6857284  -1.01046819 -0.00509768],[-0.28836686 -1.25869166 -0.13056833],[-1.05696298  0.14418756  0.03055286],[ 1.01404454 -0.60213594 -0.04616976],[0.97368517 0.48470107 0.0210081 ],[ 0.83488333 -0.96410339 -0.07272435],[-0.26377838 -1.25703954 -0.06703229],[ 1.22492283 -0.32698856 -0.03692995],[-1.06237439  0.43767706  0.09540267],[-0.13280233 -1.14599716 -0.03921951]
481,[-0.28482395 -1.25948843 -0.13066158],[-0.68262639 -1.01256627 -0.00511245],[-0.28482395 -1.25948843 -0.13066158],[-1.05750649  0.14024547  0.0300915 ],[ 1.01598836 -0.59886794 -0.04594014],[0.97190917 0.48824562 0.02116735],[ 0.83765097 -0.96170963 -0.07259318],[-0.26020578 -1.25778157 -0.06707651],[ 1.22587026 -0.32344684 -0.03668156],[-1.0638626   0.43415788  0.0948975 ],[-0.12897532 -1.14643342 -0.03924159]
482,[-0.2812788  -1.26027533 -0.13075382],[-0.67951797 -1.01465483 -0.00512716],[-0.2812788  -1.26027533 -0.13075382],[-1.0580351   0.1363014   0.02962972],[ 1.01792161 -0.5955937  -0.04571005],[0.97012024 0.49178368 0.02132632],[ 0.84041174 -0.95930797 -0.07246142],[-0.25663108 -1.25851347 -0.06712019],[ 1.22680739 -0.31990241 -0.03643286],[-1.06533891  0.43063385  0.09439127],[-0.12514687 -1.14685691 -0.03926323]
483,[-0.27773145 -1.26105236 -0.13084502],[-0.67640316 -1.01673385 -0.00514183],[-0.27773145 -1.26105236 -0.13084502],[-1.05854881  0.13235542  0.02916752],[ 1.01984425 -0.59231325 -0.04547949],[0.9683184 0.4953152 0.021485 ],[ 0.8431656  -0.95689843 -0.07232906],[-0.25305432 -1.25923524 -0.06716333],[ 1.22773423 -0.3163553  -0.03618385],[-1.06680332  0.42710501  0.09388398],[-0.12131703 -1.14726764 -0.03928443]
484,[-0.27418192 -1.26181951 -0.13093521],[-0.67328198 -1.0188033  -0.00515645],[-0.27418192 -1.26181951 -0.13093521],[-1.05904759  0.12840756  0.02870491],[ 1.02175627 -0.58902663 -0.04524845],[0.96650368 0.49884013 0.0216434 ],[ 0.84591254 -0.95448103 -0.07219611],[-0.24947551 -1.25994687 -0.06720592],[ 1.22865076 -0.31280553 -0.03593454],[-1.06825582  0.42357139  0.09337564],[-0.11748584 -1.14766559 -0.0393052 ]
485,[-0.27063024 -1.26257677 -0.13102437],[-0.67015447 -1.02086318 -0.00517102],[-0.27063024 -1.26257677 -0.13102437],[-1.05953145  0.1244579   0.0282419 ],[ 1.02365764 -0.58573388 -0.04501694],[0.9646761  0.50235842 0.02180151],[ 0.84865252 -0.95205579 -0.07206256],[-0.24589471 -1.26064836 -0.06724798],[ 1.22955698 -0.30925314 -0.03568493],[-1.06969637  0.42003304  0.09286626],[-0.11365334 -1.14805076 -0.03932553]
486,[-0.26707645 -1.26332415 -0.1311125 ],[-0.66702067 -1.02291345 -0.00518555],[-0.26707645 -1.26332415 -0.1311125 ],[-1.06000039  0.12050648  0.02777849],[ 1.02554835 -0.58243502 -0.04478496],[0.96283569 0.50587003 0.02195933],[ 0.85138554 -0.94962272 -0.07192843],[-0.24231192 -1.2613397  -0.0672895 ],[ 1.23045288 -0.30569815 -0.03543502],[-1.07112497  0.41649     0.09235585],[-0.10981958 -1.14842314 -0.03934542]
487,[-0.26352056 -1.26406163 -0.1311996 ],[-0.66388058 -1.02495411 -0.00520002],[-0.26352056 -1.26406163 -0.1311996 ],[-1.06045438  0.11655337  0.02731468],[ 1.02742838 -0.5791301  -0.04455251],[0.96098248 0.50937491 0.02211685],[ 0.85411155 -0.94718185 -0.0717937 ],[-0.23872718 -1.26202089 -0.06733047],[ 1.23133845 -0.30214059 -0.03518481],[-1.0725416  0.4129423  0.0918444],[-0.10598459 -1.14878274 -0.03936487]
488,[-0.25996261 -1.26478921 -0.13128568],[-0.66073426 -1.02698512 -0.00521445],[-0.25996261 -1.26478921 -0.13128568],[-1.06089343  0.11259861  0.0268505 ],[ 1.0292977  -0.57581914 -0.0443196 ],[0.95911647 0.51287301 0.02227409],[ 0.85683055 -0.9447332  -0.07165838],[-0.23514052 -1.26269192 -0.0673709 ],[ 1.23221368 -0.2985805  -0.03493431],[-1.07394624  0.40938999  0.09133192],[-0.10214842 -1.14912955 -0.03938389]
489,[-0.25640262 -1.26550688 -0.13137073],[-0.65758172 -1.02900648 -0.00522882],[-0.25640262 -1.26550688 -0.13137073],[-1.06131754  0.10864226  0.02638593],[ 1.0311563  -0.57250219 -0.04408622],[0.95723771 0.51636429 0.02243103],[ 0.85954251 -0.94227679 -0.07152247],[-0.23155196 -1.26335278 -0.06741079],[ 1.23307858 -0.2950179  -0.03468351],[-1.07533889  0.40583311  0.09081842],[-0.09831111 -1.14946357 -0.03940247]
490,[-0.25284063 -1.26621463 -0.13145475],[-0.654423   -1.03101816 -0.00524315],[-0.25284063 -1.26621463 -0.13145475],[-1.06172669  0.10468439  0.02592099],[ 1.03300416 -0.56917927 -0.04385239],[0.95534622 0.51984871 0.02258766],[ 0.86224741 -0.93981263 -0.07138598],[-0.22796155 -1.26400348 -0.06745014],[ 1.23393312 -0.29145282 -0.03443242],[-1.07671952  0.40227168  0.09030391],[-0.09447271 -1.14978478 -0.0394206 ]
491,[-0.24927665 -1.26691247 -0.13153774],[-0.65125812 -1.03302014 -0.00525743],[-0.24927665 -1.26691247 -0.13153774],[-1.06212087  0.10072504  0.02545569],[ 1.03484126 -0.56585042 -0.0436181 ],[0.95344201 0.5233262  0.022744  ],[ 0.86494522 -0.93734076 -0.0712489 ],[-0.22436929 -1.264644   -0.06748894],[ 1.2347773  -0.2878853  -0.03418105],[-1.07808811  0.39870577  0.08978839],[-0.09063326 -1.15009319 -0.0394383 ]
492,[-0.24571072 -1.26760038 -0.1316197 ],[-0.64808712 -1.03501241 -0.00527165],[-0.24571072 -1.26760038 -0.1316197 ],[-1.06250009  0.09676427  0.02499002],[ 1.03666757 -0.56251568 -0.04338336],[0.95152512 0.52679674 0.02290004],[ 0.86763593 -0.93486118 -0.07111123],[-0.22077523 -1.26527434 -0.0675272 ],[ 1.23561113 -0.28431537 -0.03392938],[-1.07944466  0.3951354   0.08927187],[-0.0867928  -1.1503888  -0.03945556]
493,[-0.24214286 -1.26827836 -0.13170062],[-0.64491002 -1.03699495 -0.00528583],[-0.24214286 -1.26827836 -0.13170062],[-1.06286434  0.09280214  0.02452401],[ 1.03848309 -0.55917508 -0.04314816],[0.94959558 0.53026026 0.02305577],[ 0.87031951 -0.93237392 -0.07097298],[-0.2171794  -1.26589449 -0.06756492],[ 1.23643458 -0.28074304 -0.03367743],[-1.08078914  0.39156061  0.08875435],[-0.08295137 -1.15067159 -0.03947238]
494,[-0.23857311 -1.26894641 -0.13178052],[-0.64172686 -1.03896773 -0.00529996],[-0.23857311 -1.26894641 -0.13178052],[-1.06321361  0.0888387   0.02405765],[ 1.04028779 -0.55582865 -0.04291252],[0.9476534  0.53371673 0.02321119],[ 0.87299594 -0.929879   -0.07083415],[-0.21358182 -1.26650446 -0.06760209],[ 1.23724765 -0.27716836 -0.0334252 ],[-1.08212155  0.38798145  0.08823583],[-0.07910902 -1.15094158 -0.03948876]
495,[-0.23500149 -1.26960452 -0.13185938],[-0.63853766 -1.04093074 -0.00531404],[-0.23500149 -1.26960452 -0.13185938],[-1.0635479   0.084874    0.02359095],[ 1.04208166 -0.55247643 -0.04267643],[0.94569861 0.53716611 0.02336631],[ 0.87566519 -0.92737644 -0.07069473],[-0.20998251 -1.26710423 -0.06763872],[ 1.23805033 -0.27359135 -0.03317269],[-1.08344187  0.38439795  0.08771634],[-0.07526579 -1.15119875 -0.0395047 ]
496,[-0.23142803 -1.27025268 -0.13193721],[-0.63534246 -1.04288396 -0.00532807],[-0.23142803 -1.27025268 -0.13193721],[-1.06386721  0.08090812  0.02312392],[ 1.04386466 -0.54911846 -0.04243989],[0.94373124 0.54060833 0.02352111],[ 0.87832725 -0.92486627 -0.07055474],[-0.20638152 -1.2676938  -0.0676748 ],[ 1.23884263 -0.27001205 -0.0329199 ],[-1.08475008  0.38081015  0.08719586],[-0.07142172 -1.1514431  -0.0395202 ]
497,[-0.22785276 -1.27089089 -0.13201401],[-0.63214128 -1.04482738 -0.00534205],[-0.22785276 -1.27089089 -0.13201401],[-1.06417152  0.07694109  0.02265656],[ 1.0456368  -0.54575476 -0.04220291],[0.94175132 0.54404337 0.02367561],[ 0.8809821  -0.92234849 -0.07041416],[-0.20277886 -1.26827317 -0.06771034],[ 1.23962452 -0.26643048 -0.03266683],[-1.08604616  0.3772181   0.0866744 ],[-0.06757685 -1.15167463 -0.03953526]
498,[-0.2242757  -1.27151914 -0.13208978],[-0.62893416 -1.04676097 -0.00535598],[-0.2242757  -1.27151914 -0.13208978],[-1.06446084  0.07297297  0.02218889],[ 1.04739804 -0.54238539 -0.04196549],[0.93975887 0.54747116 0.02382978],[ 0.8836297  -0.91982313 -0.07027301],[-0.19917458 -1.26884232 -0.06774534],[ 1.24039602 -0.26284668 -0.03241349],[-1.08733011  0.37362184  0.08615198],[-0.06373123 -1.15189333 -0.03954989]
499,[-0.22069688 -1.27213744 -0.1321645 ],[-0.62572112 -1.04868471 -0.00536986],[-0.22069688 -1.27213744 -0.1321645 ],[-1.06473515  0.06900383  0.0217209 ],[ 1.04914837 -0.53901036 -0.04172764],[0.93775392 0.55089168 0.02398364],[ 0.88627005 -0.91729022 -0.07013127],[-0.19556869 -1.26940126 -0.06777979],[ 1.2411571  -0.25926066 -0.03215988],[-1.08860191  0.3700214   0.08562859],[-0.0598849  -1.15209921 -0.03956407]
500,[-0.21711634 -1.27274576 -0.1322382 ],[-0.6225022  -1.0505986  -0.00538369],[-0.21711634 -1.27274576 -0.1322382 ],[-1.06499447  0.06503372  0.0212526 ],[ 1.05088777 -0.53562971 -0.04148935],[0.9357365  0.55430486 0.02413718],[ 0.88890311 -0.91474977 -0.06998897],[-0.19196122 -1.26994999 -0.06781369],[ 1.24190776 -0.25567248 -0.031906  ],[-1.08986155  0.36641683  0.08510425],[-0.05603791 -1.15229227 -0.03957781]
501,[-0.21353409 -1.27334412 -0.13231085],[-0.61927743 -1.0525026  -0.00539746],[-0.21353409 -1.27334412 -0.13231085],[-1.06523877  0.06106269  0.02078401],[ 1.05261622 -0.53224349 -0.04125063],[0.93370662 0.55771067 0.0242904 ],[ 0.89152887 -0.91220181 -0.06984608],[-0.18835221 -1.27048849 -0.06784705],[ 1.24264799 -0.25208214 -0.03165185],[-1.09110901  0.36280816  0.08457896],[-0.05219029 -1.15247249 -0.0395911 ]
502,[-0.20995017 -1.27393251 -0.13238248],[-0.61604683 -1.05439671 -0.00541119],[-0.20995017 -1.27393251 -0.13238248],[-1.06546807  0.0570908   0.02031512],[ 1.05433371 -0.52885172 -0.04101147],[0.93166433 0.56110907 0.0244433 ],[ 0.89414731 -0.90964635 -0.06970262],[-0.18474168 -1.27101676 -0.06787986],[ 1.2433778  -0.24848969 -0.03139743],[-1.09234427  0.35919543  0.08405272],[-0.04834209 -1.15263988 -0.03960396]
503,[-0.20636461 -1.27451091 -0.13245306],[-0.61281043 -1.0562809  -0.00542487],[-0.20636461 -1.27451091 -0.13245306],[-1.06568235  0.0531181   0.01984595],[ 1.05604022 -0.52545445 -0.0407719 ],[0.92960964 0.56449999 0.02459587],[ 0.8967584  -0.90708341 -0.0695586 ],[-0.18112967 -1.27153481 -0.06791212],[ 1.24409717 -0.24489515 -0.03114275],[-1.09356733  0.3555787   0.08352554],[-0.04449335 -1.15279443 -0.03961638]
504,[-0.20277743 -1.27507933 -0.13252261],[-0.60956828 -1.05815515 -0.00543849],[-0.20277743 -1.27507933 -0.13252261],[-1.06588162  0.04914466  0.01937649],[ 1.05773572 -0.5220517  -0.04053189],[0.92754258 0.56788341 0.02474812],[ 0.89936212 -0.90451303 -0.06941399],[-0.1775162  -1.27204261 -0.06794384],[ 1.2448061  -0.24129856 -0.03088781],[-1.09477816  0.35195798  0.08299743],[-0.04064412 -1.15293615 -0.03962836]
505,[-0.19918866 -1.27563776 -0.13259111],[-0.60632039 -1.06001946 -0.00545206],[-0.19918866 -1.27563776 -0.13259111],[-1.06606587  0.04517053  0.01890677],[ 1.0594202  -0.51864351 -0.04029147],[0.92546318 0.57125927 0.02490003],[ 0.90195845 -0.90193521 -0.06926882],[-0.1739013  -1.27254018 -0.06797501],[ 1.24550458 -0.23769995 -0.03063261],[-1.09597676  0.34833334  0.08246839],[-0.03679443 -1.15306503 -0.03963989]
506,[-0.19559833 -1.2761862  -0.13265858],[-0.6030668  -1.06187379 -0.00546559],[-0.19559833 -1.2761862  -0.13265858],[-1.06623509  0.04119575  0.01843677],[ 1.06109365 -0.51522992 -0.04005062],[0.92337148 0.57462754 0.02505161],[ 0.90454737 -0.89934998 -0.06912308],[-0.170285   -1.27302751 -0.06800564],[ 1.24619261 -0.23409933 -0.03037715],[-1.09716312  0.3447048   0.08193843],[-0.03294434 -1.15318107 -0.03965099]
507,[-0.19200647 -1.27672464 -0.13272501],[-0.59980754 -1.06371814 -0.00547906],[-0.19200647 -1.27672464 -0.13272501],[-1.06638929  0.0372204   0.01796652],[ 1.06275605 -0.51181096 -0.03980936],[0.92126749 0.57798816 0.02520286],[ 0.90712886 -0.89675737 -0.06897677],[-0.16666733 -1.27350458 -0.06803571],[ 1.24687017 -0.23049676 -0.03012144],[-1.09833721  0.34107242  0.08140756],[-0.02909387 -1.15328428 -0.03966164]
508,[-0.18841311 -1.27725308 -0.1327904 ],[-0.59654264 -1.06555249 -0.00549248],[-0.18841311 -1.27725308 -0.1327904 ],[-1.06652846  0.03324452  0.01749602],[ 1.06440737 -0.50838667 -0.03956768],[0.91915124 0.58134109 0.02535378],[ 0.9097029  -0.89415738 -0.0688299 ],[-0.16304832 -1.27397141 -0.06806524],[ 1.24753727 -0.22689224 -0.02986547],[-1.09949904  0.33743622  0.08087577],[-0.02524309 -1.15337464 -0.03967185]
509,[-0.18481827 -1.27777152 -0.13285475],[-0.59327212 -1.06737681 -0.00550585],[-0.18481827 -1.27777152 -0.13285475],[-1.06665261  0.02926818  0.01702526],[ 1.06604761 -0.50495708 -0.03932559],[0.91702277 0.58468628 0.02550436],[ 0.91226946 -0.89155005 -0.06868246],[-0.15942799 -1.27442798 -0.06809422],[ 1.2481939  -0.22328583 -0.02960925],[-1.10064857  0.33379625  0.08034309],[-0.02139202 -1.15345215 -0.03968162]
510,[-0.18122198 -1.27827994 -0.13291806],[-0.58999603 -1.0691911  -0.00551916],[-0.18122198 -1.27827994 -0.13291806],[-1.06676172  0.02529142  0.01655427],[ 1.06767674 -0.50152223 -0.03908309],[0.91488209 0.5880237  0.0256546 ],[ 0.91482853 -0.88893539 -0.06853445],[-0.15580638 -1.27487429 -0.06812266],[ 1.24884005 -0.21967754 -0.02935279],[-1.10178581  0.33015254  0.0798095 ],[-0.01754071 -1.15351683 -0.03969094]
511,[-0.17762427 -1.27877835 -0.13298033],[-0.58671439 -1.07099533 -0.00553243],[-0.17762427 -1.27877835 -0.13298033],[-1.06685581  0.02131431  0.01608305],[ 1.06929475 -0.49808216 -0.03884018],[0.91272925 0.5913533  0.02580449],[ 0.91738008 -0.88631343 -0.06838588],[-0.15218352 -1.27531034 -0.06815054],[ 1.24947572 -0.2160674  -0.02909608],[-1.10291073  0.32650515  0.07927502],[-0.01368921 -1.15356866 -0.03969983]
512,[-0.17402517 -1.27926675 -0.13304156],[-0.58342723 -1.07278949 -0.00554564],[-0.17402517 -1.27926675 -0.13304156],[-1.06693485  0.01733689  0.01561159],[ 1.07090162 -0.4946369  -0.03859687],[0.91056426 0.59467503 0.02595405],[ 0.91992409 -0.88368419 -0.06823675],[-0.14855943 -1.27573612 -0.06817788],[ 1.2501009  -0.21245546 -0.02883912],[-1.10402333  0.32285412  0.07873966],[-0.00983756 -1.15360764 -0.03970827]
513,[-0.17042471 -1.27974512 -0.13310174],[-0.58013459 -1.07457356 -0.0055588 ],[-0.17042471 -1.27974512 -0.13310174],[-1.06699887  0.01335923  0.01513992],[ 1.07249733 -0.49118649 -0.03835316],[0.90838716 0.59798885 0.02610326],[ 0.92246055 -0.88104769 -0.06808706],[-0.14493415 -1.27615164 -0.06820466],[ 1.25071559 -0.20884172 -0.02858193],[-1.10512359  0.31919947  0.07820341],[-0.00598579 -1.15363378 -0.03971627]
514,[-0.16682291 -1.28021347 -0.13316089],[-0.57683649 -1.07634753 -0.00557191],[-0.16682291 -1.28021347 -0.13316089],[-1.06704785  0.00938138  0.01466804],[ 1.07408187 -0.48773096 -0.03810904],[0.90619798 0.60129471 0.02625212],[ 0.92498943 -0.87840395 -0.06793681],[-0.1413077  -1.27655688 -0.0682309 ],[ 1.25131978 -0.20522624 -0.02832449],[-1.1062115   0.31554126  0.07766629],[-0.00213397 -1.15364708 -0.03972383]
515,[-0.1632198  -1.28067179 -0.13321898],[-0.57353296 -1.07811137 -0.00558496],[-0.1632198  -1.28067179 -0.13321898],[-1.06708179  0.0054034   0.01419594],[ 1.07565523 -0.48427035 -0.03786453],[0.90399674 0.60459257 0.02640063],[ 0.9275107  -0.87575299 -0.067786  ],[-0.13768011 -1.27695184 -0.06825659],[ 1.25191347 -0.20160903 -0.02806681],[-1.10728705  0.31187952  0.07712831],[ 0.00171789 -1.15364753 -0.03973095]
516,[-0.15961542 -1.28112007 -0.13327604],[-0.57022404 -1.07986508 -0.00559796],[-0.15961542 -1.28112007 -0.13327604],[-1.0671007   0.00142535  0.01372365],[ 1.07721737 -0.48080469 -0.03761963],[0.90178347 0.60788239 0.02654879],[ 0.93002436 -0.87309483 -0.06763464],[-0.13405141 -1.27733653 -0.06828173],[ 1.25249665 -0.19799013 -0.0278089 ],[-1.10835023  0.30821429  0.07658946],[ 0.00556972 -1.15363513 -0.03973762]
517,[-0.15600979 -1.28155832 -0.13333205],[-0.56690976 -1.08160863 -0.00561091],[-0.15600979 -1.28155832 -0.13333205],[-1.06710457 -0.00255273  0.01325117],[ 1.0787683  -0.47733403 -0.03737433],[0.89955821 0.61116413 0.0266966 ],[ 0.93253037 -0.87042951 -0.06748272],[-0.13042164 -1.27771093 -0.06830632],[ 1.25306932 -0.19436957 -0.02755076],[-1.10940102  0.30454562  0.07604975],[ 0.0094215  -1.15360989 -0.03974385]
518,[-0.15240293 -1.28198653 -0.13338702],[-0.56359015 -1.08334201 -0.00562381],[-0.15240293 -1.28198653 -0.13338702],[-1.0670934  -0.00653077  0.01277849],[ 1.08030799 -0.47385839 -0.03712865],[0.89732098 0.61443773 0.02684405],[ 0.93502873 -0.86775703 -0.06733024],[-0.12679081 -1.27807505 -0.06833036],[ 1.25363146 -0.19074738 -0.02729238],[-1.11043941  0.30087355  0.0755092 ],[ 0.01327316 -1.1535718  -0.03974964]
519,[-0.14879488 -1.2824047  -0.13344094],[-0.56026524 -1.0850652  -0.00563665],[-0.14879488 -1.2824047  -0.13344094],[-1.0670672  -0.01050871  0.01230564],[ 1.08183642 -0.47037782 -0.03688258],[0.89507182 0.61770316 0.02699115],[ 0.9375194  -0.86507742 -0.06717721],[-0.12315897 -1.27842888 -0.06835385],[ 1.25418309 -0.18712359 -0.02703378],[-1.1114654   0.29719812  0.0749678 ],[ 0.01712468 -1.15352087 -0.03975499]
520,[-0.14518567 -1.28281283 -0.13349382],[-0.55693506 -1.08677818 -0.00564945],[-0.14518567 -1.28281283 -0.13349382],[-1.06702596 -0.01448651  0.01183262],[ 1.08335359 -0.46689235 -0.03663612],[0.89281074 0.62096037 0.02713788],[ 0.94000237 -0.8623907  -0.06702363],[-0.11952613 -1.27877242 -0.06837679],[ 1.25472419 -0.18349822 -0.02677495],[-1.11247896  0.29351936  0.07442557],[ 0.02097601 -1.1534571  -0.03975989]
521,[-0.14157531 -1.2832109  -0.13354565],[-0.55359964 -1.08848095 -0.00566218],[-0.14157531 -1.2832109  -0.13354565],[-1.06696969 -0.01846411  0.01135942],[ 1.08485946 -0.46340201 -0.03638928],[0.89053779 0.62420933 0.02728426],[ 0.94247761 -0.8596969  -0.0668695 ],[-0.11589233 -1.27910566 -0.06839918],[ 1.25525475 -0.17987132 -0.02651589],[-1.11348009  0.28983733  0.0738825 ],[ 0.02482711 -1.15338048 -0.03976435]
522,[-0.13796385 -1.28359892 -0.13359643],[-0.55025901 -1.09017347 -0.00567487],[-0.13796385 -1.28359892 -0.13359643],[-1.06689838 -0.02244144  0.01088607],[ 1.08635404 -0.45990685 -0.03614206],[0.888253   0.62744997 0.02743027],[ 0.94494511 -0.85699604 -0.06671482],[-0.1122576  -1.27942861 -0.06842102],[ 1.25577479 -0.17624291 -0.02625661],[-1.11446878  0.28615205  0.07333861],[ 0.02867793 -1.15329102 -0.03976837]
523,[-0.13435131 -1.28397689 -0.13364617],[-0.54691321 -1.09185575 -0.0056875 ],[-0.13435131 -1.28397689 -0.13364617],[-1.06681203 -0.02641846  0.01041256],[ 1.0878373  -0.45640689 -0.03589447],[0.88595638 0.63068227 0.02757592],[ 0.94740485 -0.85428813 -0.06655959],[-0.10862196 -1.27974126 -0.06844231],[ 1.25628428 -0.17261301 -0.02599712],[-1.11544502  0.28246358  0.0727939 ],[ 0.03252843 -1.15318871 -0.03977194]
524,[-0.13073771 -1.2843448  -0.13369486],[-0.54356227 -1.09352776 -0.00570008],[-0.13073771 -1.2843448  -0.13369486],[-1.06671066 -0.03039511  0.00993891],[ 1.08930923 -0.45290218 -0.0356465 ],[0.88364798 0.63390618 0.0277212 ],[ 0.9498568  -0.85157321 -0.06640382],[-0.10498545 -1.28004361 -0.06846304],[ 1.25678322 -0.16898167 -0.0257374 ],[-1.11640879  0.27877195  0.07224837],[ 0.03637856 -1.15307357 -0.03977508]
525,[-0.12712309 -1.28470265 -0.1337425 ],[-0.54020621 -1.09518948 -0.0057126 ],[-0.12712309 -1.28470265 -0.1337425 ],[-1.06659425 -0.03437133  0.00946512],[ 1.09076981 -0.44939276 -0.03539816],[0.88132783 0.63712166 0.02786611],[ 0.95230095 -0.84885129 -0.0662475 ],[-0.1013481  -1.28033566 -0.06848323],[ 1.25727162 -0.16534891 -0.02547746],[-1.11736009  0.27507721  0.07170204],[ 0.0402283  -1.15294559 -0.03977777]
